3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Mac Edition ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Shader Clock ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers
,['1582 MHz'],['ZOTAC'],['3584'],"['10.50"" x 4.38""']",['NVIDIA'],['Single Fan'],['1480 MHz'],,"['January 17, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['11010 MHz (11.0 Gbps)'],"['The GeForce GTX 1080 Ti is our new flagship gaming GPU, based on the award-winning NVIDIA Pascal architecture. The latest addition to the ultimate gaming platform, this card is packed with extreme gaming horsepower, next-gen 11 Gbps GDDR5X memory, and a massive 11GB frame buffer.']",,['GeForce GTX 1080 Ti FE'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['267 mm'],,['352-Bit'],['11GB'],['GDDR5X'],['ZT-P10810A-10P'],['4'],['OpenGL 4.5'],['Windows 10 / 8 / 7'],,['Accessories:DisplayPort to DVI adapterDual 4-pin to 6-pin PCIe adapterDual 6-pin to 8-pin PCIe adapterUser Manual'],['6-pin + 8-pin'],,['SLI Ready'],,,['Dual Slot'],,['Recommended Power Supply: 600WPower Consumption: 250W'],,['Yes'],(7)
,['1582 MHz'],['GIGABYTE'],,"['10.50"" x 4.38""']",['NVIDIA'],['Single Fan'],['1480 MHz'],,"['December 06, 2019']",['DirectX 12'],['3 x DisplayPort'],,,['11010 MHz'],['Powered by GeForce GTX 1080 TiIntegrated with 11GB GDDR5X 352-bit memory interfaceMemory speed boost over 11 Gbps7-phase dualFET power supplyAdvanced vapor chamber cooling'],['ATX'],['GeForce GTX 1080 Ti FE'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI'],['PCI Express 3.0'],,['267 mm'],,['352-Bit'],['11GB'],['GDDR5X'],['GV-N108TD5X-B'],,['OpenGL 4.5'],,,,['1 x 8-Pin + 1 x 6-Pin'],,,,,['Dual Slot'],,['System PSU Limitation: 600W'],,['Yes'],(18)
,['1771 MHz in OC Mode1733 MHz in Gaming Mode'],['GIGABYTE'],['2560'],"['6.65"" x 5.16""']",['NVIDIA'],['Single Fan'],['1632 MHz in OC Mode1607 MHz in Gaming Mode'],['1 x Dual-link DVI-D'],"['December 07, 2018']",['DirectX 12'],['3 x DisplayPort'],['Yes'],,['10010 MHz'],['Powered by GeForce GTX 1080Integrated with 8GB GDDR5X 256-bit memory90mm cooler fan One-click Super Overclocking17cm compact card size'],['ATX'],['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI'],['PCI Express 3.0 x16'],,['169 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['GV-N1080IX-8GD'],['4'],['OpenGL 4.5'],,,,['8-Pin'],,['2-Way SLI'],,,['Dual Slot'],,['Recommended PSU: 500W'],['180W'],['Yes'],(11)
,['1683 MHz'],['EVGA'],['3584'],"['11.80"" x 5.62""']",['NVIDIA'],['iCX'],['1569 MHz'],['1 x Dual-Link DVI-D'],"['November 30, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['12006 MHz'],"['Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIOpenGL 4.6 SupportMax Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCAsynchronous Fans9 additional temp sensors to monitor Memory and VRMGPU / Memory / PWM Thermal Status Indicator LEDsNew vented heatsink fin design and pin fins for optimized airflowSafety fuse to protect components from damage due to improper installation or other component failuresRedesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipationEVGA iCX Technology']",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['300 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['11G-P4-6797-K1'],['4'],['OpenGL 4.6'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,['Two 8-pin or 6+2-pin'],,['SLI Ready'],,,['Dual Slot'],,"['600W or greater power supply****PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slotTwo available 8-pin or 6+2-pin PCI-E power donglesTotal Power Draw: 280 Watts****Minimum system power requirement based on a PC configured with an Intel Core i7 3.2 GHz processor']",['250W'],['Yes'],(8)
,['1746 MHz (OC Mode)1721 MHz (Gaming Mode)'],['GIGABYTE'],,"['10.50"" x 4.83""']",['NVIDIA'],['WATERFORCE'],['1632 MHz (OC Mode)1607 MHz (Gaming Mode)'],['1 x Dual-Link DVI-D (Thin)'],"['November 20, 2018']",['DirectX 12'],['3 x DisplayPort'],['Yes'],,['11448 MHz (OC Mode)11232 MHz (Gaming Mode)'],,['ATX'],['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],,['3 x HDMI'],['PCI Express 3.0 x16'],,['267 mm'],,['352-Bit'],['11GB'],['GDDR5X'],['GV-N108TAORUSX W-11GD'],,['OpenGL 4.5'],,,,['2 x 8-Pin'],,,['AORUS'],,['Dual Slot'],['3584 Stream Processors'],['System PSU Limitation: 600W'],['250W'],['Yes'],(39)
,['N/A'],['EVGA'],['2560'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1708 MHz'],['1 x Dual-Link DVI-D'],"['November 05, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10000 MHz'],"['Simultaneous Multi-Projection VR Ready NVIDIA Ansel NVIDIA SLI w/ HB Bridge Support NVIDIA G-SYNC NVIDIA GameStream NVIDIA GPU Boost 3.0 Microsoft DirectX 12 Vulkan API OpenGL 4.5 Support PCI Express 3.0 Max Digital Resolution - 7680x4320 HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVI Built for EVGA Precision XOC EVGA ACX 3.0 Cooling']",,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['267 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['08G-P4-6183-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",['GTX 1080 SC ACX3.0'],,['8-Pin'],,['SLI Ready'],,,['Dual Slot'],,"['500 Watts or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['180W'],['Yes'],(2)
,['1936 MHz (OC Mode)1898 MHz (Gaming Mode)'],['GIGABYTE'],,"['11.54"" x 5.59""']",['NVIDIA'],['WINDFORCE Stack 3X'],['1784 MHz (OC Mode)1759 MHz (Gaming Mode)'],['1 x Dual-Link DVI-D'],"['November 28, 2018']",['DirectX 12'],['3 x DisplayPort'],['Yes'],,['10400 MHz (OC Mode)10206 MHz (Gaming Mode)'],,['ATX'],['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],,['3 x HDMI'],['PCI Express 3.0 x16'],,['293 mm'],,['256-Bit'],['8GB'],['GDDR5X'],['GV-N1080AORUS X-8GD'],,['OpenGL 4.5'],,,,['2 x 8-Pin'],,,,,['2.5 Slot'],,['System PSU Limitation: 500W'],['180W'],['Yes'],(12)
,['1582 MHz'],['EVGA'],['3584'],"['10.60"" x 4.38""']",['NVIDIA'],['Single Fan'],['1480 MHz'],,"['December 26, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['11000 MHz'],"[""EVGA Geforce GTX 1080 Ti Gaming is the ultimate video card.- Experience next-gen performance with the new NVIDIA Pascal Architecture.- Built with 11Gbps GDDR5X memory and massive 11GB frame buffer for unrivaled performance.- Delivers best VR performance, the lowest latency, and plug-and-play compatibility with leading headsets.- Perfect your card's performance with the included FREE EVGA Precision XOC overclocking tool.- 24/7 U.S. Based Technical Support and Warranty Services.""]",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['267 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['11G-P4-5390-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,['1 x 8-Pin\xa0& 1 x 6-Pin'],,['2-Way SLI'],,,['Dual Slot'],,"['600W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['250W'],['Yes'],(3)
,['1.68 GHz'],['MSI'],,,['NVIDIA'],,['1.57 GHz'],['Yes'],"['September 25, 2020']",,['Yes'],['Yes'],,,,['Plug-in Card'],['GTX 1080 Ti'],,,['Yes'],,,,,['352-Bit'],['11GB'],['GDDR5X'],,,['OpenGL'],,['GTX 1080'],,,,,['GTX 10'],,,,,,,39 (69% Positive)
,['N/A'],['EVGA'],['3584'],"['11.80"" x 5.62""']",['NVIDIA'],['Triple Fans'],['1569 MHz'],['1 x Dual-Link DVI-D'],"['October 30, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['11016 MHz'],,,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['300 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['11G-P4-6696-KR'],['4'],['OpenGL 4.6'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",['GTX 1080 Ti FTW3'],,['2 x 8-Pin or 6+2-Pin'],,['SLI Ready'],,,['Dual Slot'],,"['600 Watts or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['250W'],['Yes'],(1)
,['1582 MHz'],['EVGA'],['3584'],"['10.60"" x 4.66""']",['NVIDIA'],['Double Fans'],['1480 MHz'],['1 x Dual-Link DVI'],"['May 15, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['11016 MHz'],"['Featuring a total of 11 global patents (pending and granted), iCX from EVGA is efficiency perfected. With 9 additional sensors embedded on the PCB, a newly designed die\xadcast baseplate and backplate, purposefullydirected airflow chambers, and full control using EVGA Precision XOC, EVGA\'s iCX is the very definition of Interactive Cooling.With PC gaming growing, it is important to provide ""Peace of Mind Gaming"" to the user. With EVGA\'s new iCX technology, users can have a better understanding of their card\'s operation. This includes temperature monitoring on key components (not just GPU), interaction with other devices and better cooling with asynchronous fan control providing better overclocking capabilities.With EVGA iCX technology, a new era of PC gaming is here.iCX Technology - Peace of Mind Gaming- 9 additional temp sensors to monitor memory and PWN- Full monitoring and control with EVGA Precision XOC- Safety fuse to protect components from damage due to improper installation or other component failures- GPU / Memory / PWM Thermal Status Indicator LEDs- Customizable RGB LED']",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['270 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['11G-P4-6591-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64 bit']",,,['1 x 8-Pin & 1 x 6-Pin'],,['2-Way SLI'],,,['Dual Slot'],,"['600W or greater power supplyPCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot']",['250W'],['Yes'],(12)
,['1582 MHz'],['PNY'],['3584'],"['10.50"" x 4.38""']",['NVIDIA'],['Single Fan'],,,"['April 09, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],,,,"[""The GeForce GTX 1080 Ti is NVIDIA's new flagship gaming GPU, based on the NVIDIA Pascal architecture. The latest addition to the ultimate gaming platform, this card is packed with extreme gaming horsepower, next-gen 11 Gbps GDDR5X memory, and a massive 11GB frame buffer. #GameReady Discover unrivaled gaming, powered by NVIDIA Pascal - the world's most advanced GPU architecture. GeForce GTX 1080 Ti features massive gaming horsepower with 3584 NVIDIA CUDA cores and 12 billion transistors. This means you can count on up to 3X the performance of previous-generation graphics cards, plus breakthrough gaming technologies and VR experiences.- This powerful new card includes 3584 NVIDIA CUDA cores and a massive 11GB frame buffer, delivering 35% faster performance than the GeForce GTX 1080. - Get up to 3X the performance and power efficiency of previous-generation NVIDIA Maxwell GPUs. - Revolutionary NVIDIA G-SYNC display technology gives you smoother frame delivery and reduced latency in even the most challenging games. - Enjoy the fastest, smoothest, most power-efficient gaming experiences with ultra-fast FinFET and high-speed GDDR5X technologies, plus support for DirectX 12 features. - Tap into advanced graphics technologies like 4K, HDR, and NVIDIA GameWorks for a more interactive and cinematic experience, as well as incredibly smooth gameplay. - NVIDIA VRWorks technologies give you low latency, plug-and-play compatibility, and amazing performance that lets you hear and feel every VR moment. - The GeForce GTX 1080 Ti is meticulously crafted to offer superior heat dissipation using an advanced vapor chamber and premium materials, so it runs as cool as it looks. - This is ultimate GeForce, backed by an unmatched heritage in high-performance PC gaming, unbeatable support, and the complete GeForce platform of breakthrough technologies. These include everything from GeForce Experience and Game Ready drivers to NVIDIA G-SYNC technology.""]",,['GeForce GTX 1080 Ti FE'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],,['267 mm'],,['352-Bit'],['11GB'],['GDDR5X'],['VCGGTX1080T11PB-FE'],,,,,,['1 x 6-pin1 x 8-pin'],,,,,['Dual Slot'],,['Power and Thermal: 250W'],,['Yes'],(3)
,['1683 MHz'],['EVGA'],['3584'],"['11.80"" x 5.62""']",['NVIDIA'],['Triple Fans'],['1569 MHz'],['1 x Dual-Link DVI-D'],"['December 14, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['11000 to 11016 MHz'],"['Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIOpenGL 4.5 SupportMax Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCAsynchronous Fans9 additional temp sensors to monitor Memory and VRMGPU / Memory / PWM Thermal Status Indicator LEDsNew vented heatsink fin design and pin fins for optimized airflowSafety fuse to protect components from damage due to improper installation or other component failuresRedesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipationEVGA iCX Technology']",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['300 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['11G-P4-6796-K4'],['4'],['OpenGL 4.5'],"['Windows 10 32/64-bit, Windows 8 32/64-bit, Windows 7 32/64-bit']",,,['2 x 8-Pin\xa0or 2 x 6+2-Pin'],,['2-Way SLI'],,,['Dual Slot'],,"['600W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['250W'],['Yes'],(2)
,['1683 MHz'],['EVGA'],['3584'],"['11.80"" x 5.62""']",['NVIDIA'],['Triple Fans'],['1569 MHz'],['1 x Dual-Link DVI-D'],"['December 14, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['11016 MHz'],"['9 additional temp sensors to monitor Memory and VRMAsynchronous FansBuilt for EVGA Precision XOCEVGA iCX TechnologyGPU / Memory / PWM Thermal StatusIndicator LEDsHDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIMax Digital Resolution - 7680x4320Microsoft DirectX 12 APINew vented heatsink fin design and pin fins for optimized airflowNVIDIA AnselNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0NVIDIA SLI w/ HB Bridge SupportOpenGL 4.6 SupportRedesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipationSafety fuse to protect components from damage due to improper installation or other component failuresSimultaneous Multi-ProjectionVR ReadyVulkan API']",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],,['300 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['11G-P4-6796-K1'],['4'],['OpenGL 4.6'],,,,,,['SLI Ready'],,,['Dual Slot'],,"['600-Watt or greater power supply****PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slotTwo available 8-pin or 6+2-pin PCI-E power donglesWindows 10 32/64-bit, Windows 8 32/64-bit, Windows 7 32/64-bit****Minimum system power requirement based on a PC configured with an Intel Core i7 3.2 GHz processor']",['250W'],['Yes'],(3)
,['1873 MHz in OC Mode1847 MHz in Gaming Mode'],['GIGABYTE'],,"['11.30"" x 5.51""']",['NVIDIA'],['Triple Fans'],['1733 MHz in OC Mode1708 MHz in Gaming Mode'],['1 x Dual-link DVI-D'],"['May 29, 2019']",['DirectX 12'],['3 x DisplayPort'],['Yes'],,['10010 MHz'],['Powered by GeForce GTX 1080WINDFORCE Stack 3 x 100mm fans cooling systemAORUS VR Link provides the best VR experienceAdvanced Copper Back Plate CoolingRGB fusion - 16.7M customizable color lightingStylish Metal Back PlateTitan X-grade Chokes and Capacitors for Extreme DurabilityIntuitive AORUS Graphics Engine'],['ATX'],['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],,['3 x HDMI'],['PCI Express 3.0 x16'],,['287 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['GV-N1080AORUS-8GD R2'],['4'],['OpenGL 4.5'],,,,['2 x 8-Pin'],,,['AORUS'],,['2.5-slot'],['2560 Stream Processors'],['Recommended PSU: 500W'],['180W'],['Yes'],(22)
,['1582 MHz'],['EVGA'],['3584'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1480 MHz'],['1 x Dual-Link DVI'],"['November 05, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['11000 MHz'],"[""EVGA Geforce GTX 1080 Ti Gaming is the ultimate video card.- Experience next-gen performance with the new NVIDIA Pascal Architecture.- Built with 11Gbps GDDR5X memory and massive 11GB frame buffer for unrivaled performance.- Delivers best VR performance, the lowest latency, and plug-and-play compatibility with leading headsets.- Perfect your card's performance with the included FREE EVGA Precision XOC overclocking tool.- 24/7 U.S. Based Technical Support and Warranty Services.""]",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],,['267 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['11G-P4-6391-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64 bit, Windows 8 32/64 bit, Windows 7 32/64 bit']",,,['1 x 8-Pin\xa0& 1 x 6-Pin'],,['2-Way SLI'],,,['Dual Slot'],,"['600W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['250W'],['Yes'],(13)
,['1860 MHz (OC Mode)1835 MHz (Gaming Mode)'],['ASUS'],['2560'],"['11.73"" x 5.28""']",['NVIDIA'],['Triple Fans'],['1721 MHz (OC Mode)1695 MHz (Gaming Mode)'],['1 x DVI-D'],"['November 09, 2018']",,['2 x DisplayPort 1.4'],['Yes'],,['11100 MHz (OC Mode)11010 MHz (Gaming Mode)'],['ROG Strix GeForce GTX 1080 OC edition 8GB 11Gbps GDDR5X with ASUS Aura Sync for best VR and 4K gaming- MaxContact Technology and 2.5-Slot Width for the coolest and quietest gaming performance.- Patented Wing-Blade Fan Design with IP5X dust-resistance for longer fan lifespan.- NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.- ASUS FanConnect II for optimal cooling performance.- Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.- ASUS Aura Sync for perfect RGB LED synchronization.- VR-friendly HDMI ports let you enjoy VR experiences anytime without having to swap cables.- GPU Tweak II with XSplit Gamecaster provides intuitive performance tweaking and real-time streaming.'],,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['2 x HDMI 2.0'],['PCI Express 3.0'],,['298 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['STRIX-GTX1080-O8G-11GBPS'],,['OpenGL 4.5'],,,['Accessories:1 x ROG Velcro Hook & Loop1 x Power cable'],['1 x 6-pin1 x 8-pin'],,,['ROG'],,['2.5-Slot'],,,['180W'],['Yes'],(21)
,['1582 MHz'],['EVGA'],['3584'],"['11.80"" x 5.62""']",['NVIDIA'],['Triple Fans'],['1480 MHz'],['1 x Dual-Link DVI-D'],"['November 30, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['11016 MHz'],"['Dual BIOS SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIOpenGL 4.6 SupportMax Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCAsynchronous Fans9 additional temp sensors to monitor Memory and VRMGPU / Memory / PWM Thermal Status Indicator LEDsNew vented heatsink fin design and pin fins for optimized airflowSafety fuse to protect components from damage due to improper installation or other component failuresRedesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipationEVGA iCX Technology']",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['300 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['11G-P4-6694-KR'],['4'],['OpenGL 4.6'],"['Windows 10 32/64-bit, Windows 8 32/64-bit, Windows 7 32/64-bit']",,,['Two available 8-pin or 6+2-pin PCI-E power dongles'],,['SLI Ready'],,,['Dual Slot'],,"['600W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.Total Power Draw: 280W.']",['250W'],['Yes'],(16)
,,,,,,,,,"['November 15, 2018']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,['1759 MHz'],['PNY'],['2560'],"['10.50"" x 4.40""']",['NVIDIA'],['Double Fans'],['1620 MHz'],['1 x DL-DVI-D'],"['February 22, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,,['Factory OverclockedPNY Silent XLR8 Triple CoolerSimultaneous Multi-ProjectionVR ReadyNVIDIA Ansel SupportNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 SupportVulkan API SupportOpen GL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680x4320 @ 60Hz*3 x DisplayPort 1.4HDMI 2.0bDL-DVI* 7680x4320 @ 60Hz RGB8-bit with dual DisplayPort connectors or 7680x4320 @ 60Hz YUV420 8-bit with DisplayPort 1.3 connector.'],,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],,['267 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['VCGGTX10808XGPB-OC2'],,['OpenGL 4.5'],"['Microsoft Windows 10, Windows 8, Windows 7, Linux, FreeBSDx86']",,,['8-Pin'],,['SLI HB Bridge Supported'],,,['Dual Slot'],,['TDP: 180WMinimum System Requirements:PCI Express-compliant motherboard with one double-width x16 graphics slotOne 8-pin PCI Express supplementary power connectorMinimum 500W or greater system power supply*300MB of available hard-disk space2GB system memory (4GB or higher recommended)Internet connection*** Recommendation is made based on PC configured with an Intel Core i7 3.2 GHz processor. Pre-built system may require less power depending on system configuration.** Graphics Card driver is not included in the box; GeForce Experience will download the latest GeForce driver from the Internet after install.'],['180W'],['Yes'],(6)
,['1695 MHz'],['EVGA'],['3584'],"['11.80"" x 5.62""']",['NVIDIA'],['Triple Fans'],['1582 MHz'],['1 x Dual-Link DVI-D'],"['November 19, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['11016 MHz'],"['Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIOpenGL 4.5 SupportMax Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCAsynchronous Fans9 additional temp sensors to monitor Memory and VRMGPU / Memory / PWM Thermal Status Indicator LEDsNew vented heatsink fin design and pin fins for optimized airflowSafety fuse to protect components from damage due to improper installation or other component failuresRedesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipationEVGA iCX Technology']",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['300 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['11G-P4-6798-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64-bit, Windows 8 32/64-bit, Windows 7 32/64-bit']",,,['Two available 8-pin or 6+2-pin PCI-E power dongles'],,['2-Way SLI'],,,['Dual Slot'],,"['600W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['250W'],['Yes'],(8)
,['1847 MHz'],['MSI'],,,['NVIDIA'],['Triple Fans'],['1708 MHz'],['1 x DVI'],"['March 11, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10108 MHz'],,,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,,['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['GTX 1080 DUKE 8G OC'],['4'],['OpenGL 4.5'],['Power consumption: 180W Recommended PSU: 500W'],,,['6-Pin / 8-Pin'],,['2-Way SLI'],['GTX 1080 DUKE 8G OC'],,,,,['180W'],['Yes'],0 reviews
,,,,,,,,,"['February 21, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
